fraction,doc_count,index_size_mb,indexing_time_s,time_per_size
0.1,3241,0.8729763031005859,0.13819456100463867,0.15830276321797895
0.2,6483,1.9415216445922852,1.0553252696990967,0.5435557582571852
0.3,9725,3.1280174255371094,1.0638885498046875,0.3401159281016499
0.4,12967,4.196195602416992,1.0963749885559082,0.2612783321931896
0.5,16209,4.9228668212890625,2.1213252544403076,0.4309125823324293
0.6,19451,5.884695053100586,2.1396520137786865,0.3635960732835809
0.7,22693,6.706184387207031,2.147045612335205,0.3201590484793394
0.8,25935,7.929312705993652,2.152137517929077,0.2714153921943711
0.9,29177,9.177538871765137,3.1744227409362793,0.3458904162969495
1.0,32419,10.513813972473145,3.226121664047241,0.3068459906646386
